Site Name,Image URL,Location,Year Listed,UNESCO Data,Description
Rock Drawings in Valcamonica,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Capodiponte0001.jpg/250px-Capodiponte0001.jpg,Brescia,1979,"94; iii, vi (cultural)","Valcamonicais home to one of the largest collections ofpetroglyphsin the world. Over 140,000 carvings were created in the valley over a period of 8,000 years from theEpipalaeolithicto theMiddle Ages. They depict scenes from agriculture, navigation, war, and magic.[7][8]"
"Historic Centre of Rome, theProperties of the Holy Seein that City Enjoying Extraterritorial Rights andSan Paolo Fuori le Mura*",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/250px-Colosseo_2020.jpg,Metropolitan City of Rome Capital,1980,"91ter; i, ii, iii, iv, vi (cultural)","The city of Rome was the centre of theRoman Empire, and later, of the Christian world. It is home to a large number of major monuments of antiquity, including theColosseum(pictured), thePantheon, and theRoman Forum, as well as buildings from theRenaissanceandBaroqueperiods. Originally listed as the ""Historic Centre of Rome"", the site was expanded in 1990 and renamed to the current name. Another boundary modification took place in 2015. The site is shared with theHoly See.[9]"
"Church and Dominican Convent ofSanta Maria delle Graziewith ""The Last Supper"" by Leonardo da Vinci",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Santa_Maria_delle_Grazie%2C_Milano%2C_vista_di_tre_quarti_dal_Corso_Magenta.jpg/250px-Santa_Maria_delle_Grazie%2C_Milano%2C_vista_di_tre_quarti_dal_Corso_Magenta.jpg,Metropolitan City of Milan,1980,"93; i, ii (cultural)","The complex of the Dominican Convent inMilanwas constructed in the second half of the 15th century; it is partially attributed toBramante. The northern wall of thereflectoryof the convent features themuralofThe Last SupperbyLeonardo da Vinci, a masterpiece ofHigh Renaissanceart.[10]"
Historic Centre of Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/FirenzeDec092023_01.jpg/250px-FirenzeDec092023_01.jpg,Metropolitan City of Florence,1982,"174ter; i, ii, iii, iv, vi (cultural)","The city ofFlorenceis the symbol of theRenaissanceand was an important centre ofRenaissance humanism. It has had a profound influence on the architecture and arts of Italy and Europe, being associated with artists such asGiotto,Brunelleschi,Botticelli, andMichelangelo. Monuments in the city include theFlorence Cathedral,Basilica of Santa Croce, theUffizi, and thePalazzo Pitti. Minor boundary modifications of the site took place in 2015 and 2021.Piazza della Signoriais pictured.[11]"
Veniceand itsLagoon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Rio_Priuli_o_de_Santa_Sofia_%28Venice%29.jpg/250px-Rio_Priuli_o_de_Santa_Sofia_%28Venice%29.jpg,Metropolitan City of Venice,1987,"394; i, ii, iii, iv, v, vi (cultural)","The city of Venice was founded in the 5th century and developed into a major maritime power, theRepublic of Venice, in the 10th century. It is built on over 100 islands in the lagoon and contains monuments such as theSt Mark's Basilica, theDoge's Palace, and numerous churches and bridges. Even after its decline in political power, Venice remained influential in the field of arts, with the innovations by paintersBellini,Giorgione,Titian,Tintoretto,Veronese, andTiepolo. Venice is also associated with the 13th-century explorerMarco Polo.[12]"
"Piazza del Duomo, Pisa",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/CampodeiMiracoliPisa_edit.jpg/250px-CampodeiMiracoliPisa_edit.jpg,Pisa,1987,"395bis; i, ii, iv, vi (cultural)","Piazza dei Miracoli is one of the finest medieval architectural complexes in the world and comprises four masterpieces from the 11th to 14th century: thecathedral, thebaptistry, thecemetery, and theleaning tower. ThePisan Romanesque styledeveloped here was influential in other Tuscan cities. The complex is also associated withGalileo Galilei, who conducted his experiments there. A minor boundary modification took place in 2007.[13][14]"
Historic Centre ofSan Gimignano,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Panorama_San_Gimignano.jpg/250px-Panorama_San_Gimignano.jpg,Siena,1990,"550; i, iii, iv (cultural)","The town of San Gimignano was an important stop for pilgrims on theVia Francigenain theMiddle Ages. The city preserves its medieval character, with its most prominent feature being the high towers, built between the 11th and the 13th century by noble families and upper middle-class merchants. Fourteen of these towers have survived to the present day. Churches and palaces of the town are home to several masterpieces of artists from the 14th and 15th centuries.[15]"
TheSassiand the Park of the Rupestrian Churches ofMatera,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/%22_12_-_ITALY_-_Sassi_di_Matera_UNESCO.JPG/250px-%22_12_-_ITALY_-_Sassi_di_Matera_UNESCO.JPG,Matera,1993,"670; iii, iv, v (cultural)","This site comprises two districts of Matera, with cave dwellings first occupied in thePaleolithic. People inhabited the natural caves in thekarstplateau ofMurgeand later started carving and building more elaborate structures, including churches, monasteries, and hermitages. TheRomanesqueMatera Cathedraldates to the 13th century.[16]"
City of Vicenza and the Palladian Villas of the Veneto,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/VillaChiericati_2007_07_18_2.jpg/250px-VillaChiericati_2007_07_18_2.jpg,"Padua,Rovigo,Treviso,Metropolitan City of Venice,Verona,Vicenza",1994,"712; i, ii (cultural)","In the 16th century, while under theRepublic of Venice, several villas were built in the city ofVicenzaand the surroundingVenetoregion by the architectAndrea Palladio(1508–80). His designs had a profound influence on the architecture and inspired thePalladian style. Originally listed in 1994 as ""Vicenza, City of Palladio"", the site was expanded in 1996 to include several villas in the region.Villa Chiericatiis pictured.[17][18]"
Historic Centre ofSiena,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Siena_cathedral_panoramic_frontview.jpg/250px-Siena_cathedral_panoramic_frontview.jpg,Siena,1995,"717; i, ii, iv (cultural)","The city of Siena has preserved its medievalGothiccharacter from the 12th to 15th century. The city is built around thePiazza del Campo. Several importantRenaissance paintersworked and were born in Siena, includingDuccio,Ambrogio Lorenzetti, andSimone Martini. TheSiena Cathedralis pictured.[19]"
Historic Centre of Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Castel_Nuovo_%2829%29_%2815584302832%29.jpg/250px-Castel_Nuovo_%2829%29_%2815584302832%29.jpg,Metropolitan City of Naples,1995,"726bis; ii, iv (cultural)","Naples, founded in 470 BCE by Greek colonists, was one of the most important cities ofMagna Grecia, of theRoman Republic, and the capital of theKingdom of Naplesunder several royal houses. It was highly influential on European arts and architecture. Some of the important monuments include theChurch of Santa Chiarafrom the 14th century, theCastel Nuovofrom the 13th century (pictured), and theRoyal Palacefrom the 17th century. A minor boundary modification took place in 2011.[20]"
Crespi d'Adda,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Vista_di_Crespi_d%27Adda.JPG/250px-Vista_di_Crespi_d%27Adda.JPG,Bergamo,1995,"730; iv, v (cultural)","Crespi d'Adda is a well preservedcompany townbuilt in the 19th and 20th centuries for the workforce of a textile manufacturerCristoforo Crespi. The town includes both residential buildings and common public services such as a clinic, a school, theatre, and sports centre. Some of the buildings are still in use.[21]"
"Ferrara, City of the Renaissance, and itsPo Delta",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Palais_ferrare.JPG/250px-Palais_ferrare.JPG,Ferrara,1995,"733bis; ii, iii, iv, v, vi (cultural)","Ferrara, the seat of theHouse of Este, was an intellectual and artistic centre during theItalian Renaissanceof the 15th and 16th centuries. It attracted artists to decorate several mansions and palaces (Este Castlepictured), while the architectural school influenced the styles in Italy and Europe. Originally listed as ""Ferrara, city of the Renaissance"", the site was expanded in 1999 to include thecultural landscapeof the Po Delta.[22][23]"
Castel del Monte,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Castel_del_Monte_-_Andria.jpg/250px-Castel_del_Monte_-_Andria.jpg,Barletta-Andria-Trani,1996,"398rev; i, ii, iii (cultural)","The octagonal castle was built by EmperorFrederick IIin the 13th century. It blends northern EuropeanCistercian Gothic, Muslim architecture, and elements fromClassical antiquityin a perfectly symmetrical design.[24]"
TheTrulliofAlberobello,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Alberobello_BW_2016-10-16_13-43-03.jpg/250px-Alberobello_BW_2016-10-16_13-43-03.jpg,Bari,1996,"787; iii, iv, v (cultural)","Thetrulliare traditional limestone huts, typical of theApuliaregion. They were constructed from at least the mid-14th century in a prehistoricdrywalltechnique, usually featuring conical, domed or pyramidal roofs of corbelled stone slabs. The World Heritage Site lists thetrulliin the town of Alberobello, with over 1500 preserved structures.[25]"
Early Christian Monuments ofRavenna,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Basilica_of_San_Vitale.jpg/250px-Basilica_of_San_Vitale.jpg,Ravenna,1996,"788; i, ii, iii, iv (cultural)","This site comprises eight monuments in the city of Ravenna, which was the seat of theRoman Empirein the 5th century. The churches and mausolea are decorated withmosaicsof outstanding artistic quality that mix motifs from Western andByzantinearts. TheBasilica of San Vitaleis pictured.[26]"
Historic Centre of the City ofPienza,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pienza_Piazza_Pio_II.JPG/250px-Pienza_Piazza_Pio_II.JPG,Siena,1996,"789; i, ii, iv (cultural)","In 1459,Pope Pius IIdecided to transform his hometown of Pienza according toRenaissance Humanistideas of urban design. The project was supervised by the architectBernardo Rossellinowho built new squares, churches, and palaces. Pienza was later a model for urban development in other Italian and European cities.[27]"
